Size of Array (kB),Time (s),L1-dcache-loads,L1-dcache-loads-misses,LLC-loads,LLC-loads-misses,L1-dcache-loads (%),L1-dcache-loads-misses (%),LLC-loads (%),LLC-loads-misses (%)
4,1.280106,405424208,84537,6601,922,74.95,50.1,50.02,74.96
8,1.278071,405312881,105264,3661,842,74.99,50.04,49.99,74.98
16,1.281744,405356465,196156,4570,1304,74.98,50.04,50.04,74.98
32,1.334798,405428290,3181003,4264,740,74.99,50.06,49.97,75
64,1.411835,405708053,67376550,7815,966,74.95,50.1,49.99,74.95
128,1.449003,405692264,67434486,54714,1330,74.98,50.04,50.03,74.98
256,1.509877,405760563,67425073,7879091,971,74.98,50.06,50,74.97
512,1.757208,406209180,67554471,50097829,1610,74.98,50.04,50.03,74.98
1024,1.765921,406321645,67474045,49143978,1110,74.99,50.05,49.99,74.98
2048,1.747488,406740813,67525727,53237024,2925,74.96,50.08,50.02,74.96
4096,1.750355,406454589,67566125,52761753,2306,74.98,50.08,49.98,74.95
8192,1.774007,406711138,67662207,48351747,15745,75,50,49.97,75.01
16384,2.230951,407719655,67899476,40767622,17863404,74.97,50.06,50.01,74.97
32768,2.692130,408271924,68321953,51512586,30278910,74.98,50.03,50,74.99