Partition Size, Num Processes, Integral Value, Time (s), Time (s), Time (s), Min Time (s)
100000000,1,3.1415926535904264,17.9064,18.23,29.1379,17.9064
100000000,2,3.1415926535900223,11.4357,10.7002,15.9751,10.7002
100000000,3,3.1415926535901537,8.3646,8.2637,7.3065,7.3065
100000000,4,3.1415926535902168,6.8822,6.7223,6.936,6.7223
100000000,5,3.1415926535896439,5.9712,5.7327,5.9889,5.7327
100000000,6,3.1415926535896723,5.316,5.1013,5.0658,5.0658
100000000,7,3.1415926535896643,4.8228,4.6658,5.0518,4.6658
100000000,8,3.1415926535896137,4.777,4.5139,4.4973,4.4973
100000000,9,3.1415926535897531,4.346,4.2168,4.4778,4.2168
100000000,10,3.1415926535897452,4.0747,4.2593,4.2379,4.0747
100000000,11,3.1415926535897376,3.9475,3.9495,3.9254,3.9254
100000000,12,3.1415926535897389,3.719,3.8552,3.932,3.719
100000000,13,3.1415926535897492,9.6303,3.6691,3.7948,3.6691
100000000,14,3.1415926535897487,3.6342,3.721,3.4553,3.4553
100000000,15,3.1415926535897460,3.4024,3.5781,3.616,3.4024
100000000,16,3.1415926535897749,3.3955,3.4863,3.6335,3.3955
100000000,17,3.1415926535897309,3.2979,3.4517,3.2865,3.2865
100000000,18,3.1415926535897443,3.1828,3.2971,3.3786,3.1828
100000000,19,3.1415926535897452,3.3459,3.3182,3.3842,3.3182
100000000,20,3.1415926535897505,3.2247,4.5421,3.0937,3.0937
100000000,21,3.1415926535897531,3.3235,3.0707,3.2731,3.0707
100000000,22,3.1415926535897594,3.2479,3.1695,3.1806,3.1695
100000000,23,3.1415926535897594,3.0069,3.56,3.0666,3.0069
100000000,24,3.1415926535897540,3.1504,2.9548,3.5728,2.9548
100000000,25,3.1415926535897514,3.0496,3.0091,3.0996,3.0091
100000000,26,3.1415926535897531,2.9739,2.9263,2.9398,2.9263
100000000,27,3.1415926535897505,3.5518,3.7281,2.8966,2.8966
100000000,28,3.1415926535897492,3.0093,3.7466,3.0687,3.0093
100000000,29,3.1415926535897540,2.9822,2.9125,2.9013,2.9013
100000000,30,3.1415926535897603,3.5126,2.9413,2.9719,2.9413
100000000,31,3.1415926535897682,2.946,2.9604,2.7543,2.7543
100000000,32,3.1415926535897736,2.9124,,,2.9124