Partition Size, Num Threads, Integral Value, Time (s),Time (s),Time (s),Min Time (s)
100000000,1,3.1415926636,0.8653,0.9141,0.854,0.854
100000000,2,3.1415926636,0.4717,0.4804,0.4714,0.4714
100000000,3,3.1415926636,0.3299,0.3293,0.3258,0.3258
100000000,4,3.1415926636,0.2564,0.2524,0.2557,0.2524
100000000,5,3.1415926636,0.2176,0.2128,0.213,0.2128
100000000,6,3.1415926636,0.1836,0.1831,0.183,0.183
100000000,7,3.1415926636,0.1629,0.1627,0.1627,0.1627
100000000,8,3.1415926636,0.1473,0.1424,0.1457,0.1424
100000000,9,3.1415926636,0.1385,0.1348,0.148,0.1348
100000000,10,3.1415926636,0.1236,0.1239,0.1241,0.1236
100000000,11,3.1415926636,0.1154,0.1168,0.1157,0.1154
100000000,12,3.1415926636,0.1372,0.1606,0.1602,0.1372
100000000,13,3.1415926636,0.1501,0.1418,0.1518,0.1418
100000000,14,3.1415926636,0.1501,0.1475,0.1473,0.1473
100000000,15,3.1415926636,0.1333,0.1407,0.148,0.1333
100000000,16,3.1415926636,0.1372,0.1378,0.1324,0.1324
100000000,17,3.1415926636,0.127,0.1273,0.1317,0.127
100000000,18,3.1415926636,0.1265,0.1224,0.1256,0.1224
100000000,19,3.1415926636,0.1404,0.1203,0.1211,0.1203
100000000,20,3.1415926636,0.1711,0.1128,0.1127,0.1127
100000000,21,3.1415926636,0.1748,0.1119,0.1071,0.1071
100000000,22,3.1415926636,0.2045,0.1049,0.1089,0.1049
100000000,23,3.1415926636,0.1978,0.1006,0.1004,0.1004
100000000,24,3.1415926636,0.1849,0.1009,0.0977,0.0977
100000000,25,3.1415926636,0.1738,0.1078,0.1177,0.1078
100000000,26,3.1415926636,0.1731,0.1086,0.1194,0.1086
100000000,27,3.1415926636,0.1681,0.1115,0.1171,0.1115
100000000,28,3.1415926636,0.1688,0.1062,0.1232,0.1062
100000000,29,3.1415926636,0.164,0.1032,0.1085,0.1032
100000000,30,3.1415926636,0.1627,0.1097,0.1077,0.1077
100000000,31,3.1415926636,0.1493,0.1051,0.092,0.092
100000000,32,3.1415926636,0.1438,0.1175,0.1048,0.1048
100000000,33,3.1415926636,0.1356,0.1096,0.1121,0.1096
100000000,34,3.1415926636,0.1422,0.1117,0.1104,0.1104
100000000,35,3.1415926636,0.1314,0.1063,0.112,0.1063
100000000,36,3.1415926636,0.133,0.1118,0.1088,0.1088
100000000,37,3.1415926636,0.1379,0.1123,0.1068,0.1068
100000000,38,3.1415926636,0.1235,0.1006,0.1146,0.1006
100000000,39,3.1415926636,0.1181,0.103,0.1052,0.103
100000000,40,3.1415926636,0.1206,0.097,0.1171,0.097
100000000,41,3.1415926636,0.1189,0.1016,0.1043,0.1016
100000000,42,3.1415926636,0.1212,0.0971,0.1021,0.0971
100000000,43,3.1415926636,0.1276,0.0833,0.0855,0.0833
100000000,44,3.1415926636,0.1309,0.0938,0.1051,0.0938
100000000,45,3.1415926636,0.0955,0.0956,0.1075,0.0955
100000000,46,3.1415926636,0.1034,0.1033,0.1075,0.1033
100000000,47,3.1415926636,0.1308,0.1117,0.0996,0.0996
100000000,48,3.1415926636,0.1013,0.0816,0.0984,0.0816
100000000,49,3.1415926636,0.1344,0.1075,0.0999,0.0999
100000000,50,3.1415926636,0.1599,0.1052,0.0995,0.0995
100000000,51,3.1415926636,0.1049,0.0983,0.0999,0.0983
100000000,52,3.1415926636,0.1063,0.1024,0.1009,0.1009
100000000,53,3.1415926636,0.1064,0.0984,0.098,0.098
100000000,54,3.1415926636,0.1025,0.0841,0.1012,0.0841
100000000,55,3.1415926636,0.1067,0.1078,0.1086,0.1067
100000000,56,3.1415926636,0.1019,0.1001,0.0954,0.0954
100000000,57,3.1415926636,0.1061,0.1046,0.0901,0.0901
100000000,58,3.1415926636,0.1024,0.1002,0.0971,0.0971
100000000,59,3.1415926636,0.0965,0.0953,0.1019,0.0953
100000000,60,3.1415926636,0.102,0.1001,0.0943,0.0943
100000000,61,3.1415926636,0.0982,0.093,0.0985,0.093
100000000,62,3.1415926636,0.0983,0.0951,0.0767,0.0767
100000000,63,3.1415926636,0.096,0.0917,0.0957,0.0917
100000000,64,3.1415926636,0.1008,0.0938,0.0973,0.0938